['type1', 'type2', '0']
['noun', 'noun interjection feminine', 4]
['noun', 'noun adverb', 1]
['noun', 'noun adjective adverb', 7]
['noun', 'noun u0431u0438u0301u0440u0436u0430', '0']
['nonetype', 'noun u0431u0438u0301u0440u0436u0430', '0']
['adjective', 'particle', '0']
['adjective', 'adjective interjection adverb', 16]
['adjective', 'noun adjective', 13]
['adposition', 'adjective adverb', 2]
['adjective', 'noun adjective interjection adverb', '0']
['adjective', 'adjective noun verb', 3]
['nonetype', 'adjective noun verb', 1]
['auxiliary', 'verb', 1]
['adverb', 'noun adverb', 12]
['adverb', 'pronoun adverb', '0']
['adverb', 'adverb adposition', 1]
['pronoun', 'noun adverb', 5]
['adverb', 'conjunction noun', 1]
['conjunction', 'conjunction noun', 1]
['interjection', 'verb adverb', 1]
['interjection', 'interjection verb', '0']
['adverb', 'interjection', 3]
['adverb', 'noun adposition', 1]
['adposition', 'noun adposition', 7]
['adposition', 'particle adposition', '0']
['conjunction', 'adposition', 5]
['noun', 'letter prefix adposition', '0']
['adposition', 'letter prefix adposition', '0']
['noun', 'noun adposition', '0']
['nonetype', 'pronoun verb', 3]
['pronoun', 'pronoun verb', 1]
['determiner', 'pronoun adverb', 1]
['pronoun', 'pronoun adverb', 1]
['interjection', 'noun adverb', 4]
['conjunction', 'interjection adverb', 1]
['u0441u0443u0449', 'noun masculine', 2]
['u0441u0443u0449', 'noun neuter', 2]
['nonetype', 'noun u043au043eu0301u043bu043eu043au043eu043b', '0']
['ordinal number', 'pronoun', '0']
['nonetype', 'verb noun adverb', 5]
['verb', 'verb neuter', '0']
['verb', 'verb noun adverb', 1]
['interjection', 'verb', 1]
['nonetype', 'verb interjection', 34]
['nonetype', 'letter conjunction noun', 2]
['nonetype', 'noun u043du0435u0442u0443', 1]
['noun', 'noun u043du0435u0442u0443', 1]
['determiner', 'adjective masculine', 1]
['determiner', 'numeral masculine', 3]
['adjective', 'adjective u0431u0435u0301u043bu044bu0439', 1]
['noun', 'verb noun feminine', 1]
['nonetype', 'verb noun feminine', 1]
['verb', 'adjective adverb', 2]
['verb', 'adverb', '0']
['adjective', 'adjective conjunction interjection adverb', 2]
['adverb', 'adjective conjunction interjection adverb', 2]
['nonetype', 'adjective conjunction interjection adverb', 2]
['cardinal number', 'noun feminine', 1]
['nonetype', 'adjective pronoun', 1]
['adverb', 'adjective noun', 1]
['verb', 'verb noun', '0']
['determiner', 'masculine', 3]
['nonetype', 'pronoun conjunction', 1]
['pronoun', 'pronoun conjunction', 1]
['adverb', 'conjunction interjection adverb', 1]
['interjection', 'conjunction interjection adverb', 2]
['nonetype', 'u043cu0435u0441u0442u043eu0438u043cu0435u043du0438u0435', 7]
['pronoun', 'u043cu0435u0441u0442u043eu0438u043cu0435u043du0438u0435', 1]
['pronoun', 'pronoun interjection', 1]
['nonetype', 'letter noun adposition', 3]
